institution,course,type,salary6monthsafter,mediantariff
10007849,Accounting  and  Finance,BA,19000,170
10007849,Biomedical  Sciences,BSc,20000,156
10007849,Business  and  Human  Resource  Management,BA,19000,154
10007849,Business  Management,BA,19000,128
10007849,Computer  Arts,BA,17000,176
10007849,Computer  Game  Applications  Development,BSc,17000,156.5
10007849,Computer  Games  Technology,BSc,17000,195.75
10007849,Computing,BSc,23000,154
10007849,Criminology,BA,17000,144
10007849,Ethical  Hacking,BSc,23000,151.5
10007849,Fitness  Nutrition  and  Health,BSc,18000,155.25
10007849,Food  and  Consumer  Sciences,BSc,18000,155.25
10007849,Food  Nutrition  and  Health,BSc,18000,151.5
10007849,Forensic  Sciences,BSc,17000,144
10007849,Game  Design  and  Production  Management,BA,17000,144
10007849,Management  and  the  Games  Industry,BA,19000,154
10007849,Marketing  and  Business,BA,19000,166
10007849,Nursing  (Mental  Health  Nursing),BSc,22000,107.25
10007849,Psychology,BSc,17000,179
10007849,Psychology  and  Counselling,BSc,17000,167.5
10007849,Psychology  and  Forensic  Biology,BSc,17000,162.14285
10007849,Psychology  and  Human  Resource  Management,BSc,17000,172
10007849,Social  Science,BA,17000,149
10007849,Sociology,BA,17000,149
10007849,Sound  and  Music  for  Games,BA,17000,160
10007849,Sport  and  Exercise,BSc,18000,144
10007849,Sport  and  Management,BA,18000,112
10007849,Sport  and  Psychology,BSc,18000,137
10000163,Chiropractic,MChiro,24000,131.46153
10000291,Abnormal  and  Clinical  Psychology,BSc,18000,108
10000291,Accounting  and  Finance,BSc,21000,71.5
10000291,Accounting  and  Finance,BSc,21000,73
10000291,Accounting  and  Finance,BSc,29000,0
10000291,Accounting  and  Finance,BSc,21000,64
10000291,Animal  Behaviour,BSc,18000,67.75
10000291,Animal  Behaviour,BSc,18000,112
10000291,Animal  Behaviour,BSc,16000,88.333336
10000291,Applied  Computer  Science,BSc,24000,94.210526
10000291,Applied  Nutritional  Science,BSc,22000,101.625
10000291,Applied  Nutritional  Science,BSc,22000,101.625
10000291,Archaeology  and  Landscape  History,BA,18000,87.5
10000291,Architectural  Technology,BSc,19000,92
10000291,Architectural  Technology,BSc,19000,80
10000291,Architectural  Technology,BSc,35000,0
10000291,Architecture,BA,19000,100.09091
10000291,Architecture,BA,19000,80
10000291,Assistant  Practitioner  (Nursing),FdSc,22000,86.428574
10000291,Audio  and  Music  Technology,BSc,26000,108
10000291,Audio  and  Music  Technology,BSc,26000,108
10000291,Banking  and  Finance,BSc,21000,86
10000291,Banking  and  Finance,BSc,21000,86
10000291,Biomedical  Science,BSc,26000,99
10000291,Biomedical  Science,BSc,19000,92.272728
10000291,Bioscience,BSc,19000,64
10000291,Building  Surveying,BSc,27000,115.75
10000291,Building  Surveying,BSc,27000,89
10000291,Building  Surveying,BSc,38000,0
10000291,Business  and  Events  Management,BSc,21000,107.25
10000291,Business  and  Healthcare  Management,BSc,21000,82.368423
10000291,Business  and  Hospitality  Management,BSc,21000,82.368423
10000291,Business  and  Human  Resource  Management,BSc,19000,103.5
10000291,Business  and  Human  Resource  Management,BSc,19000,101
10000291,Business  and  Human  Resource  Management,BSc,19000,103.5
10000291,Business  and  Human  Resource  Management,BSc,29000,0
10000291,Business  and  Human  Resource  Management,BSc,21000,82.368423
10000291,Business  and  Law,BSc,21000,82.368423
10000291,Business  and  Marketing,BSc,21000,82.368423
10000291,Business  and  Tourism,BSc,21000,82.368423
10000291,Business  Economics,BSc,25000,71.5
10000291,Business  Economics,BSc,26000,101
10000291,Business  Economics,BSc,30000,0
10000291,Business  Management,BSc,30000,0
10000291,Business  Management,BSc,30000,0
10000291,Business  Management,BSc,21000,91.25
10000291,Business  Management,BSc,21000,90
10000291,Business  Management,BSc,21000,83.75
10000291,Business  Management  and  Finance,BSc,21000,86
10000291,Business  Management  and  Finance,BSc,29000,0
10000291,Business  Management  and  Finance,BSc,21000,80
10000291,Business  Management  and  Leadership,BSc,21000,71.5
10000291,Business  Management  and  Leadership,BSc,21000,80
10000291,Charity  and  Social  Enterprise  Management,CertHE,30000,0
10000291,Civil  Engineering,BSc,26000,92
10000291,Civil  Engineering,BEng,26000,80
10000291,Civil  Engineering,BSc,34000,0
10000291,Civil  Engineering,MEng,26000,80
10000291,Civil  Engineering,BSc,26000,80
10000291,Civil  Engineering,BEng,26000,80
10000291,Civil  Engineering,BEng,34000,0
10000291,Computer  Games  Art,BA,24000,133
10000291,Computer  Gaming  Technology,BSc,24000,98.5
10000291,Computer  Gaming  Technology,BSc,24000,57.375
10000291,Computer  Gaming  Technology,BSc,24000,94.210526
10000291,Computer  Networks,BSc,24000,94.210526
10000291,Computer  Networks,BSc,24000,87.5
10000291,Computer  Science,BEng,24000,94.210526
10000291,Computer  Science,BEng,24000,80
10000291,Computing  and  Information  Systems,BSc,24000,64
10000291,Construction  Management,BSc,27000,89
10000291,Construction  Management,BSc,38000,0
10000291,Construction  Management,BSc,27000,89
10000291,Counselling  (Child  and  Young  Person),DipHE,26000,0
10000291,Creative  Music  Technology,BA,17000,101.625
10000291,Crime  and  Investigative  Studies,BSc,18000,57.23077
10000291,Crime  and  Investigative  Studies,BSc,18000,105
10000291,Crime  and  Investigative  Studies,BSc,18000,85
10000291,Crime  and  Investigative  Studies,BSc,18000,85
10000291,Criminology,BA,27000,0
10000291,Criminology,BA,18000,99
10000291,Criminology,BA,18000,75.666664
10000291,Criminology  and  Sociology,BA,18000,99.75
10000291,Cyber  Security,BSc,24000,94.210526
10000291,Cyber  Security,BSc,24000,94.210526
10000291,Digital  Media,BA,18000,80
10000291,Drama,BA,18000,90.5
10000291,Early  Childhood  Studies,BA,17000,96
10000291,Education,BA,17000,115.21429
10000291,Electronic  Engineering,BEng,26000,99
10000291,Electronic  Engineering,BEng,26000,99
10000291,English  Language,BA,18000,91.08696
10000291,English  Language  and  English  Language  Teaching,BA,18000,99
10000291,English  Language  and  Linguistics,BA,18000,96
10000291,English  Literature,BA,18000,91.08696
10000291,English  Literature,BA,18000,87.5
10000291,Events  Management,BSc,21000,107.25
10000291,Events  Management,BSc,21000,107.25
10000291,Fashion  Design,BA,18000,101
10000291,Film  and  Television  Production,BA,18000,108
10000291,Film  Studies,BA,18000,87.5
10000291,Film  Studies  and  Media  Studies,BA,18000,100.28571
10000291,Finance  and  Accounting,BSc,21000,86
10000291,Finance  and  Business  Analytics,BSc,21000,86
10000291,Finance  and  Business  Analytics,BSc,21000,86
10000291,Fine  Art,BA,18000,112
10000291,Forensic  Science,BSc,18000,85
10000291,Forensic  Science,BSc,18000,61.125
10000291,Forensic  Science,BSc,18000,118
